               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.035296,            0.070485,            0.020503,             0.48565,             0.40631,             0.40712,             0.22527,            0.033062,            0.097948,            0.025005,            0.007492,            0.007492,            0.007492
                  78,            0.035125,            0.070379,             0.02039,             0.48717,             0.40608,             0.40651,             0.22449,            0.033077,            0.098068,            0.024982,            0.007459,            0.007459,            0.007459
                  79,            0.035273,            0.070516,            0.020274,             0.49587,             0.39792,             0.40821,             0.22657,            0.033017,            0.097992,            0.024938,            0.007426,            0.007426,            0.007426
                  80,            0.035187,            0.069819,            0.020344,             0.48654,             0.40112,             0.40792,              0.2267,            0.033001,            0.097999,            0.025016,            0.007393,            0.007393,            0.007393
                  81,            0.035052,            0.070061,            0.020296,             0.49626,             0.39831,             0.40756,             0.22607,            0.032965,            0.097863,            0.024966,             0.00736,             0.00736,             0.00736
                  82,            0.035154,            0.070339,            0.020169,             0.49231,             0.40198,             0.40816,             0.22732,            0.032947,            0.097833,            0.025082,            0.007327,            0.007327,            0.007327
                  83,            0.035203,            0.070443,            0.020395,             0.49282,             0.40462,             0.40932,             0.22813,            0.032937,            0.097916,            0.024929,            0.007294,            0.007294,            0.007294
                  84,             0.03513,            0.070105,            0.020112,             0.49478,             0.41018,              0.4113,             0.22805,            0.032933,            0.097865,            0.024918,            0.007261,            0.007261,            0.007261
                  85,            0.035064,            0.069203,            0.020161,             0.49663,             0.40777,             0.41123,              0.2282,            0.032908,            0.097812,            0.024889,            0.007228,            0.007228,            0.007228
                  86,            0.035002,            0.070075,             0.01994,             0.48958,             0.40795,             0.41017,             0.22832,            0.032894,            0.097716,            0.024869,            0.007195,            0.007195,            0.007195
                  87,            0.035012,            0.070814,            0.019983,             0.49501,             0.40755,             0.41101,             0.22947,            0.032873,            0.097646,            0.024873,            0.007162,            0.007162,            0.007162
                  88,            0.035047,            0.070566,            0.019858,             0.49763,              0.4086,             0.41345,             0.23038,            0.032848,            0.097682,            0.024904,            0.007129,            0.007129,            0.007129
                  89,            0.034898,            0.069626,            0.019849,             0.50196,             0.40924,             0.41473,             0.23075,            0.032853,            0.097641,            0.024865,            0.007096,            0.007096,            0.007096
                  90,            0.034844,            0.069492,            0.019737,             0.50129,             0.41084,             0.41465,             0.23106,            0.032832,            0.097538,             0.02486,            0.007063,            0.007063,            0.007063
                  91,            0.034959,            0.069884,            0.019752,              0.5027,             0.40871,              0.4154,             0.23194,            0.032791,            0.097597,            0.024822,             0.00703,             0.00703,             0.00703
                  92,             0.03471,            0.068943,            0.019598,             0.50556,             0.40766,             0.41486,             0.23129,            0.032777,            0.097527,             0.02483,            0.006997,            0.006997,            0.006997
                  93,            0.034932,            0.070543,            0.019663,             0.50577,             0.41038,             0.41491,             0.23211,            0.032772,            0.097509,            0.024858,            0.006964,            0.006964,            0.006964
                  94,            0.034822,            0.070614,            0.019626,             0.50593,             0.40877,             0.41534,             0.23271,            0.032769,            0.097495,            0.024799,            0.006931,            0.006931,            0.006931
                  95,             0.03475,            0.069441,            0.019527,             0.50556,             0.40908,             0.41735,             0.23365,            0.032746,            0.097551,            0.024766,            0.006898,            0.006898,            0.006898
                  96,            0.034559,            0.069411,            0.019277,             0.51351,             0.40535,             0.41872,             0.23469,            0.032749,             0.09748,            0.024801,            0.006865,            0.006865,            0.006865
                  97,            0.034679,            0.069361,            0.019364,             0.51042,             0.40824,             0.42055,             0.23553,            0.032727,            0.097492,             0.02475,            0.006832,            0.006832,            0.006832
                  98,            0.034751,            0.068777,            0.019312,             0.51512,             0.40822,              0.4205,             0.23518,            0.032706,            0.097493,            0.024729,            0.006799,            0.006799,            0.006799
                  99,            0.034718,            0.069597,            0.019437,             0.51301,              0.4104,             0.41966,             0.23534,             0.03269,            0.097417,            0.024716,            0.006766,            0.006766,            0.006766
                 100,            0.034638,            0.069439,            0.019396,             0.50897,             0.41043,             0.42087,             0.23571,            0.032667,            0.097382,            0.024726,            0.006733,            0.006733,            0.006733
                 101,            0.034351,            0.068282,            0.019078,             0.49649,             0.41666,             0.41936,             0.23461,            0.032657,            0.097434,            0.024793,              0.0067,              0.0067,              0.0067
                 102,            0.034598,             0.06878,            0.019328,             0.50603,             0.41091,             0.41797,             0.23511,            0.032649,            0.097395,            0.024768,            0.006667,            0.006667,            0.006667
                 103,            0.034655,            0.068732,             0.01926,             0.49977,             0.41344,             0.41815,             0.23513,             0.03264,            0.097338,            0.024785,            0.006634,            0.006634,            0.006634
                 104,            0.034704,            0.069095,            0.019297,             0.50349,             0.41303,             0.41884,             0.23463,            0.032636,            0.097427,            0.024757,            0.006601,            0.006601,            0.006601
                 105,            0.034443,            0.069103,               0.019,             0.50644,             0.41391,             0.41939,             0.23542,            0.032634,            0.097414,            0.024749,            0.006568,            0.006568,            0.006568
                 106,            0.034373,            0.068154,            0.018946,              0.5095,             0.41254,             0.42034,             0.23616,            0.032621,            0.097365,            0.024735,            0.006535,            0.006535,            0.006535
                 107,            0.034437,            0.068485,            0.018975,             0.50628,             0.41797,             0.41996,             0.23683,            0.032606,            0.097385,            0.024734,            0.006502,            0.006502,            0.006502
                 108,            0.034483,            0.069292,            0.018934,             0.51145,             0.41805,             0.42124,             0.23694,            0.032595,             0.09739,             0.02469,            0.006469,            0.006469,            0.006469
                 109,            0.034395,            0.068805,             0.01881,             0.51155,             0.41907,             0.42188,             0.23712,            0.032589,            0.097344,            0.024686,            0.006436,            0.006436,            0.006436
                 110,            0.034316,            0.068387,            0.018939,             0.50259,             0.42232,              0.4222,             0.23798,             0.03258,            0.097339,            0.024728,            0.006403,            0.006403,            0.006403
                 111,            0.034432,            0.068533,            0.018659,             0.50596,             0.42012,             0.42135,             0.23749,            0.032578,            0.097329,            0.024729,             0.00637,             0.00637,             0.00637
                 112,            0.034322,            0.068172,            0.018753,              0.5051,              0.4194,             0.42176,             0.23787,            0.032566,            0.097314,             0.02471,            0.006337,            0.006337,            0.006337
                 113,            0.034278,            0.068009,            0.018725,             0.50066,             0.42387,             0.42235,              0.2383,            0.032551,            0.097314,            0.024678,            0.006304,            0.006304,            0.006304
                 114,             0.03439,            0.068191,            0.018646,             0.50503,             0.41956,             0.42222,             0.23816,            0.032535,            0.097304,            0.024659,            0.006271,            0.006271,            0.006271
                 115,             0.03429,            0.068179,            0.018782,             0.50788,             0.41962,             0.42334,             0.23847,            0.032526,            0.097285,             0.02467,            0.006238,            0.006238,            0.006238
                 116,            0.034361,            0.068268,            0.018604,             0.50855,             0.41582,             0.42277,              0.2383,            0.032515,            0.097295,            0.024669,            0.006205,            0.006205,            0.006205
                 117,            0.034309,             0.06829,            0.018727,             0.51197,              0.4151,             0.42235,             0.23853,            0.032511,            0.097295,            0.024682,            0.006172,            0.006172,            0.006172
                 118,            0.034343,            0.068636,            0.018508,             0.50987,             0.41757,             0.42258,             0.23856,            0.032507,            0.097309,            0.024688,            0.006139,            0.006139,            0.006139
                 119,            0.034358,             0.06845,            0.018501,              0.5099,             0.41818,             0.42294,             0.23902,            0.032501,            0.097271,            0.024669,            0.006106,            0.006106,            0.006106
                 120,            0.034147,            0.067342,            0.018399,             0.51233,             0.41737,             0.42354,             0.23907,            0.032492,            0.097276,            0.024613,            0.006073,            0.006073,            0.006073
                 121,            0.034373,            0.067869,            0.018444,             0.51526,             0.41698,             0.42398,             0.23943,            0.032483,            0.097256,            0.024618,             0.00604,             0.00604,             0.00604
